window,decile,n,actual,predicted,gap
dev,0,6648,0.004362214199759326,0.009724055075835129,-0.005361840876075803
dev,1,5578,0.007708856220867695,0.013094855871698355,-0.00538599965083066
dev,2,5720,0.011538461538461539,0.01576859080331802,-0.00423012926485648
dev,3,6069,0.012193112539133301,0.018712093588483986,-0.006518981049350685
dev,4,5897,0.01712735289130066,0.022799717676285264,-0.005672364784984604
dev,5,5980,0.02976588628762542,0.029858829713914497,-9.294342628907853e-05
dev,6,5983,0.04412502089252883,0.0426401625133249,0.0014848583792039308
dev,7,5980,0.07023411371237458,0.06309332751905042,0.007140786193324158
dev,8,5982,0.11049816115011701,0.10182080845622091,0.008677352693896107
dev,9,5982,0.3707790036776998,0.3607554892222512,0.010023514455448579
Q1,0,2066,0.0062923523717328175,0.00971365342344624,-0.0034213010517134233
Q1,1,1610,0.0055900621118012426,0.01303269574763054,-0.007442633635829297
Q1,2,1861,0.009134873723804407,0.015621391356503657,-0.00648651763269925
Q1,3,1736,0.01555299539170507,0.018633248131287847,-0.0030802527395827773
Q1,4,1814,0.022050716648291068,0.02268417451261922,-0.0006334578643281512
Q1,5,1817,0.02971931755641167,0.029874443088420216,-0.00015512553200854734
Q1,6,1816,0.045704845814977975,0.0429099362282081,0.002794909586769874
Q1,7,1822,0.07574094401756312,0.06319625346850224,0.012544690549060877
Q1,8,1812,0.11644591611479028,0.1013199200801385,0.015125996034651784
Q1,9,1817,0.360484314804623,0.36415686266189323,-0.0036725478572702253
Q2,0,1575,0.005714285714285714,0.009699959814535877,-0.003985674100250163
Q2,1,1590,0.005031446540880503,0.013402124031938101,-0.008370677491057597
Q2,2,1581,0.011385199240986717,0.01637951297205636,-0.004994313731069644
Q2,3,1594,0.018820577164366373,0.01988553979910049,-0.0010649626347341186
Q2,4,1523,0.025607353906762966,0.024862777214745342,0.000744576692017624
Q2,5,1567,0.023611997447351627,0.03377866063217991,-0.01016666318482828
Q2,6,1573,0.05340114431023522,0.04846454458916467,0.00493659972107055
Q2,7,1573,0.07883026064844247,0.07207616987951752,0.006754090768924942
Q2,8,1571,0.11839592616168046,0.11411100824981177,0.004284917911868691
Q2,9,1569,0.3645634161886552,0.37704456570311834,-0.012481149514463163
Q3,0,1261,0.008723235527359239,0.010137627478867428,-0.0014143919515081892
Q3,1,1269,0.01103230890464933,0.014266808028206604,-0.003234499123557274
Q3,2,1272,0.012578616352201259,0.017812480066295162,-0.005233863714093904
Q3,3,1247,0.02165196471531676,0.02213554143943129,-0.0004835767241145317
Q3,4,1254,0.02073365231259968,0.029223437227219547,-0.008489784914619866
Q3,5,1259,0.03415409054805401,0.041150128345917865,-0.006996037797863855
Q3,6,1264,0.07278481012658228,0.05830729936174693,0.014477510764835347
Q3,7,1260,0.09444444444444444,0.08248275485699932,0.011961689587445118
Q3,8,1256,0.13296178343949044,0.13008908089381316,0.002872702545677286
Q3,9,1261,0.39333862014274384,0.42160504578412134,-0.02826642564137749
Q4,0,955,0.0062827225130890054,0.011050268111327418,-0.004767545598238413
Q4,1,951,0.00946372239747634,0.015913564751489036,-0.006449842354012695
Q4,2,934,0.016059957173447537,0.02049478338482871,-0.004434826211381172
Q4,3,947,0.025343189017951427,0.028139112371860977,-0.0027959233539095497
Q4,4,958,0.04384133611691023,0.04070925574722667,0.003132080369683564
Q4,5,938,0.05650319829424307,0.05584426561336824,0.0006589326808748297
Q4,6,974,0.10164271047227925,0.07513477537095475,0.0265079351013245
Q4,7,916,0.1277292576419214,0.09914903971903068,0.028580217922890713
Q4,8,947,0.2006335797254488,0.17216119958094966,0.028472380144499126
Q4,9,947,0.46462513199577615,0.49059882990789655,-0.025973697912120397
Q5,0,727,0.009628610729023384,0.011727129398110648,-0.0020985186690872636
Q5,1,730,0.010958904109589041,0.018134595739538895,-0.007175691629949854
Q5,2,724,0.023480662983425413,0.025459307541580063,-0.001978644558154649
Q5,3,727,0.030261348005502064,0.038248670927751215,-0.00798732292224915
Q5,4,727,0.059147180192572216,0.05331542726725867,0.005831752925313544
Q5,5,735,0.08163265306122448,0.07146331507023539,0.010169337990989097
Q5,6,718,0.10863509749303621,0.08916784125002482,0.01946725624301139
Q5,7,728,0.13736263736263737,0.12192266645950446,0.015439970903132913
Q5,8,728,0.2760989010989011,0.2159827774362448,0.06011612366265631
Q5,9,725,0.4993103448275862,0.542885137328875,-0.04357479250128882
