window,feature,csi,rag
dev,util,0.0,GREEN
dev,age,0.0,GREEN
dev,late30,0.0,GREEN
dev,debtratio,0.0,GREEN
dev,income,0.0,GREEN
dev,late90,0.0,GREEN
dev,late60,0.0,GREEN
Q1,util,0.00036693562256548667,GREEN
Q1,age,0.000362412584526121,GREEN
Q1,late30,0.0003721916844249937,GREEN
Q1,debtratio,0.00040363276918639694,GREEN
Q1,income,0.00010100941155130057,GREEN
Q1,late90,6.131340892695316e-05,GREEN
Q1,late60,3.302488360101875e-05,GREEN
Q2,util,0.008279131155192892,GREEN
Q2,age,0.0029923779188661074,GREEN
Q2,late30,0.0005213420588964627,GREEN
Q2,debtratio,0.0004105449680772542,GREEN
Q2,income,0.00039509067533707756,GREEN
Q2,late90,0.00044796424589521925,GREEN
Q2,late60,0.0003501158560962344,GREEN
Q3,util,0.04720448310238659,GREEN
Q3,age,0.017436994173053874,GREEN
Q3,late30,0.002443075712295463,GREEN
Q3,debtratio,0.0028341325170845953,GREEN
Q3,income,0.001696421723013594,GREEN
Q3,late90,0.0028744357695558885,GREEN
Q3,late60,0.0017203958736931066,GREEN
Q4,util,0.19505282429008736,AMBER
Q4,age,0.0514064069217895,GREEN
Q4,late30,0.013521744352845366,GREEN
Q4,debtratio,0.002932197235359867,GREEN
Q4,income,0.0017828347047285427,GREEN
Q4,late90,0.01207355267744683,GREEN
Q4,late60,0.007784910312729603,GREEN
Q5,util,0.4033588363075139,RED
Q5,age,0.10316464278766416,AMBER
Q5,late30,0.026173512515508802,GREEN
Q5,debtratio,0.005690253666551988,GREEN
Q5,income,0.01108329834011142,GREEN
Q5,late90,0.031586927527906185,GREEN
Q5,late60,0.019803526158161645,GREEN
