window,band,n,bad_rate,share
dev,"(0, 500]",2012,0.5556660039761432,0.033634798308229824
dev,"(500, 550]",6548,0.21686010995723884,0.10946354837091894
dev,"(550, 600]",28372,0.04673621880727478,0.4742974640164496
dev,"(600, 620]",19798,0.008889786847156278,0.33096507798525554
dev,"(620, 640]",3089,0.004532211071544189,0.05163911131914609
dev,"(640, 1000]",0,,0.0
Q1,"(0, 500]",619,0.5428109854604201,0.0340652688349568
Q1,"(500, 550]",1955,0.21790281329923275,0.1075890154642012
Q1,"(550, 600]",8590,0.04912689173457509,0.4727312751086897
Q1,"(600, 620]",6058,0.009409045889732586,0.3333883660778163
Q1,"(620, 640]",949,0.006322444678609062,0.05222607451433603
Q1,"(640, 1000]",0,,0.0
Q2,"(0, 500]",569,0.5114235500878734,0.036205141257317386
Q2,"(500, 550]",1997,0.20630946419629445,0.1270679562229575
Q2,"(550, 600]",7641,0.04698337913885617,0.4861924153728684
Q2,"(600, 620]",4783,0.008153878319046624,0.3043395265970985
Q2,"(620, 640]",726,0.008264462809917356,0.04619496054975821
Q2,"(640, 1000]",0,,0.0
Q3,"(0, 500]",559,0.5223613595706619,0.04435451876537332
Q3,"(500, 550]",1789,0.19675796534376747,0.14195032928667778
Q3,"(550, 600]",6442,0.05060540204905309,0.5111481393319051
Q3,"(600, 620]",3364,0.010404280618311534,0.2669205744663969
Q3,"(620, 640]",449,0.013363028953229399,0.03562643814964691
Q3,"(640, 1000]",0,,0.0
Q4,"(0, 500]",562,0.5355871886120996,0.05936410689764445
Q4,"(500, 550]",1704,0.21713615023474178,0.17999366219499313
Q4,"(550, 600]",4942,0.06171590449210846,0.5220238723988592
Q4,"(600, 620]",2014,0.009433962264150943,0.21273898806380057
Q4,"(620, 640]",245,0.0,0.025879370444702652
Q4,"(640, 1000]",0,,0.0
Q5,"(0, 500]",529,0.5217391304347826,0.0727747970835053
Q5,"(500, 550]",1602,0.2397003745318352,0.2203879488237722
Q5,"(550, 600]",3846,0.058242329693187725,0.5290961617829137
Q5,"(600, 620]",1125,0.012444444444444444,0.15476681799422204
Q5,"(620, 640]",167,0.0,0.022974274315586737
Q5,"(640, 1000]",0,,0.0
