feature,bin,woe,points
util,"(-0.002, 0.1]",1.397,105.6
util,"(0.1, 0.3]",0.8105,95.0
util,"(0.3, 0.5]",0.1131,82.3
util,"(0.5, 0.7]",-0.4022,72.9
util,"(0.7, 0.9]",-0.8633,64.6
util,"(0.9, 1.0]",-1.2098,58.3
util,"(1.0, 1000000000.0]",-2.2475,39.4
age,"(-1.001, 30.0]",-0.6889,71.4
age,"(30.0, 35.0]",-0.5024,73.8
age,"(35.0, 40.0]",-0.3205,76.1
age,"(40.0, 45.0]",-0.2345,77.2
age,"(45.0, 50.0]",-0.1588,78.2
age,"(50.0, 55.0]",-0.0518,79.6
age,"(55.0, 60.0]",0.1865,82.6
age,"(60.0, 65.0]",0.4778,86.4
age,"(65.0, 120.0]",1.1793,95.3
late30,"(-1.001, 0.0]",0.5587,88.6
late30,"(0.0, 1.0]",-0.9066,66.7
late30,"(1.0, 2.0]",-1.647,55.7
late30,"(2.0, 98.0]",-2.302,45.9
debtratio,"(-0.002, 0.2]",0.0625,81.4
debtratio,"(0.2, 0.4]",0.1784,83.5
debtratio,"(0.4, 0.6]",-0.1301,77.9
debtratio,"(0.6, 1.0]",-0.4425,72.2
debtratio,"(1.0, 1000000000.0]",0.0252,80.7
income,"(-1.001, 2500.0]",-0.0117,80.1
income,"(2500.0, 4500.0]",-0.3469,77.1
income,"(4500.0, 6500.0]",-0.0494,79.8
income,"(6500.0, 9000.0]",0.2621,82.6
income,"(9000.0, 13000.0]",0.4346,84.2
income,"(13000.0, 1000000000.0]",0.4164,84.1
late90,"(-1.001, 0.0]",0.3953,86.1
late90,"(0.0, 1.0]",-1.9597,51.0
late90,"(1.0, 2.0]",-2.6932,40.0
late90,"(2.0, 98.0]",-3.0438,34.8
late60,"(-1.001, 0.0]",0.2981,83.3
late60,"(0.0, 1.0]",-1.8684,60.9
late60,"(1.0, 98.0]",-2.7523,51.7
